table_name,columns
ad_click,ad_request_id
ad_combined,"browser_id, city_id, click, conversion, cost, country_id, creative_id, datetime, os_id, postal_code, price, publisher_id, region_id, view"
ad_conversion,ad_request_id
ad_request,"ad_request_id, browser_id, city_id, country_id, datetime, os_id, postal_code, publisher_id, region_id"
ad_view,ad_request_id
ad_win,"ad_request_id, cost, creative_id, datetime, price"
agg_daily,"brand_id, browser_id, city_id, clicks, conversions, cost, country_id, creative_id, impressions, os_id, postal_code, publisher_id, region_id, spend, views, ymd"
agg_hourly,"brand_id, browser_id, city_id, clicks, conversions, cost, country_id, creative_id, hour, impressions, os_id, postal_code, publisher_id, region_id, spend, views, ymd"
agg_monthly,"brand_id, city_id, clicks, conversions, cost, impressions, region_id, spend, views, ymd"
brand,"brand_category_id, id, name"
brand_category,"id, name"
browser,"id, name"
city,"id, name"
creative,"brand_id, id"
operating_system,"id, name"
public.ad_click,"ad_request_id, datetime"
public.ad_conversion,"ad_request_id, datetime"
public.ad_request,"ad_request_id, browser_id, city_id, country_id, datetime, os_id, postal_code, publisher_id, region_id"
public.ad_view,"ad_request_id, datetime"
public.ad_win,"ad_request_id, cost, creative_id, datetime, price"
public.brand,"brand_category_id, id, name"
public.brand_category,"id, name"
public.browser,"id, name"
public.city,"id, name"
public.creative,"brand_id, id, name"
public.operating_system,"id, name"
public.region,"id, name"
region,"id, name"
srt,"brand_id, conversions"
